#separator:tab
#html:true
#columns:Word	WordAudio	Meaning	Sentence	SentenceAudio	Translation	Tags
#tags column:7
<ruby>市<rt>いち</rt></ruby>	市	market; fair<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 69</div>	<ruby>市長<rt>しちょう</rt></ruby>は<b><ruby>市<rt>し</rt></ruby></b>に<ruby>対<rt>たい</rt></ruby>する<ruby>彼女<rt>かのじょ</rt></ruby>の<ruby>貢献<rt>こうけん</rt></ruby>に<ruby>感謝<rt>かんしゃ</rt></ruby>した。	市長は市に対する彼女の貢献に感謝した。	The mayor acknowledged her services to the city.	pos::noun rank::0001-0500
<ruby>県<rt>けん</rt></ruby>	県	prefecture (of Japan); county (of China, Taiwan, Norway, etc.); department (of France)<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 70</div>	<ruby>日本<rt>にっぽん</rt></ruby>には４３<b><ruby>県<rt>けん</rt></ruby></b>があります。	日本には４３県があります。	There are 43 prefectures in Japan.	pos::noun rank::0001-0500
あなた	あなた	you<div style="font-size:12px;color:#a7aebb;margin-top:4px">pronoun &middot; frequency rank 71</div>	<ruby>病気<rt>びょうき</rt></ruby>のため<b>あなた</b>を<ruby>訪問<rt>ほうもん</rt></ruby>できませんでした。	病気のためあなたを訪問できませんでした。	Illness prevented me from calling on you.	pos::pronoun rank::0001-0500
こんな	こんな	this sort of; this kind of; like this<div style="font-size:12px;color:#a7aebb;margin-top:4px">adjective &middot; frequency rank 72</div>	<b>こんな</b><ruby>風<rt>かぜ</rt></ruby>に<ruby>覚<rt>おぼ</rt></ruby>えていて<ruby>下<rt>くだ</rt></ruby>さってありがとう。	こんな風に覚えていて下さってありがとう。	You were thoughtful to remember me in this way.	pos::adjective rank::0001-0500
について	について	about; on; regarding<div style="font-size:12px;color:#a7aebb;margin-top:4px">expression &middot; frequency rank 73</div>	<ruby>放課後<rt>ほうかご</rt></ruby>、その<ruby>計画<rt>けいかく</rt></ruby><b>について</b><ruby>相談<rt>そうだん</rt></ruby>しよう。	放課後、その計画について相談しよう。	Let's talk over the plan after school.	pos::expression rank::0001-0500
<ruby>同<rt>おな</rt></ruby>じ	同じ	same; identical; equal<div style="font-size:12px;color:#a7aebb;margin-top:4px">na-adjective &middot; frequency rank 74</div>	<b><ruby>同<rt>おな</rt></ruby>じ</b>ことをまたやったら<ruby>承知<rt>しょうち</rt></ruby>しませんよ。	同じことをまたやったら承知しませんよ。	If you do that the again I'll beat the pants off you.	pos::na-adjective rank::0001-0500
<ruby>問題<rt>もんだい</rt></ruby>	問題	question (e.g. on a test); problem<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 75</div>	<ruby>彼等<rt>かれら</rt></ruby>はいろいろな<b><ruby>問題<rt>もんだい</rt></ruby></b>について<ruby>話<rt>はな</rt></ruby>した。	彼等はいろいろな問題について話した。	They talked about various subjects.	pos::noun rank::0001-0500
まだ	まだ	still; as yet; only<div style="font-size:12px;color:#a7aebb;margin-top:4px">adverb &middot; frequency rank 76</div>	<ruby>彼女<rt>かのじょ</rt></ruby>の<ruby>骨折<rt>こっせつ</rt></ruby>した<ruby>足<rt>あし</rt></ruby>は<b>まだ</b><ruby>治<rt>なお</rt></ruby>っていない。	彼女の骨折した足はまだ治っていない。	Her broken leg has not healed yet.	pos::adverb rank::0001-0500
<ruby>度<rt>ど</rt></ruby>	度	degree (angle, temperature, scale, etc.)<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 77</div>	<ruby>彼<rt>かれ</rt></ruby>の<ruby>死後<rt>しご</rt></ruby>、<ruby>私<rt>わたし</rt></ruby>の<ruby>人生<rt>じんせい</rt></ruby>は１８０<b><ruby>度<rt>ど</rt></ruby></b><ruby>変<rt>か</rt></ruby>わった。	彼の死後、私の人生は１８０度変わった。	After he died, my life was turned upside down.	pos::noun rank::0001-0500
<ruby>系<rt>けい</rt></ruby>	系	system; lineage; group<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 78</div>	<ruby>彼女<rt>かのじょ</rt></ruby>はアメリカ<b><ruby>系<rt>けい</rt></ruby></b>である。	彼女はアメリカ系である。	She is of American parentage.	pos::noun rank::0001-0500
<ruby>手<rt>て</rt></ruby>	手	hand; arm<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 79</div>	どんな<b><ruby>手<rt>て</rt></ruby></b>を<ruby>使<rt>つか</rt></ruby>ってでも<ruby>勝<rt>か</rt></ruby>ちとってみせる。	どんな手を使ってでも勝ちとってみせる。	I'll win no matter what it takes.	pos::noun rank::0001-0500
くる	くる	to come (spatially or temporally); to approach; to arrive<div style="font-size:12px;color:#a7aebb;margin-top:4px">verb &middot; frequency rank 80</div>	<b><ruby>来<rt>き</rt></ruby></b>てくださればとてもうれしい。	来てくださればとてもうれしい。	I'd be very glad if you'd come.	pos::verb rank::0001-0500
ゲーム	ゲーム	game<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 81</div>	あまり<ruby>深刻<rt>しんこく</rt></ruby>に<ruby>考<rt>かんが</rt></ruby>えるな。<b>ゲーム</b>なんだから。	あまり深刻に考えるな。ゲームなんだから。	Don't be so serious. It's only a game.	pos::noun rank::0001-0500
そして	そして	and; and then; thus<div style="font-size:12px;color:#a7aebb;margin-top:4px">conjunction &middot; frequency rank 82</div>	<b>そして</b>、そこでその<ruby>男<rt>おとこ</rt></ruby>は<ruby>入<rt>はい</rt></ruby>ってきました。	そして、そこでその男は入ってきました。	And so the man came in.	pos::conjunction rank::0001-0500
<ruby>思<rt>おも</rt></ruby>い	思い	thought<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 83</div>	ご<ruby>同行<rt>どうこう</rt></ruby>くださるなら<ruby>大変<rt>たいへん</rt></ruby>ありがたく<b><ruby>思<rt>おも</rt></ruby>い</b>ます。	ご同行くださるなら大変ありがたく思います。	I'd be delighted if you'd come with me.	pos::noun rank::0001-0500
<ruby>情報<rt>じょうほう</rt></ruby>	情報	information; news; report<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 84</div>	その<b><ruby>情報<rt>じょうほう</rt></ruby></b>は<ruby>全<rt>まった</rt></ruby>く<ruby>役<rt>やく</rt></ruby>に<ruby>立<rt>た</rt></ruby>たなかった。	その情報は全く役に立たなかった。	The information was quite useless.	pos::noun rank::0001-0500
くらい	くらい	approximately; about; around<div style="font-size:12px;color:#a7aebb;margin-top:4px">suffix &middot; frequency rank 85</div>	どんな<ruby>子供<rt>こども</rt></ruby>だってその<b>くらい</b><ruby>答<rt>こた</rt></ruby>えられる。	どんな子供だってそのくらい答えられる。	Any child can answer that.	pos::suffix rank::0001-0500
<ruby>三<rt>さん</rt></ruby>	三	three; 3<div style="font-size:12px;color:#a7aebb;margin-top:4px">number &middot; frequency rank 86</div>	<ruby>毎日<rt>まいにち</rt></ruby><b><ruby>三<rt>さん</rt></ruby></b><ruby>時間<rt>じかん</rt></ruby><ruby>英語<rt>えいご</rt></ruby>を<ruby>勉強<rt>べんきょう</rt></ruby>することにしている。	毎日三時間英語を勉強することにしている。	I make it a rule to study English for 3 hours every day.	pos::number rank::0001-0500
<ruby>関係<rt>かんけい</rt></ruby>	関係	relation; relationship; connection<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 87</div>	<ruby>彼<rt>かれ</rt></ruby>らの<b><ruby>関係<rt>かんけい</rt></ruby></b>についてはさっぱり<ruby>分<rt>わ</rt></ruby>からない。	彼らの関係についてはさっぱり分からない。	I am in the dark about the relation between them.	pos::noun rank::0001-0500
くれる	くれる	to give; to let (one) have<div style="font-size:12px;color:#a7aebb;margin-top:4px">verb &middot; frequency rank 88</div>	<ruby>来<rt>き</rt></ruby>て<b>くれ</b>てありがとう。	来てくれてありがとう。	You are kind to come.	pos::verb rank::0001-0500
<ruby>会<rt>かい</rt></ruby>	会	meeting; assembly; party<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 89</div>	<ruby>会員<rt>かいいん</rt></ruby>はみんなその<b><ruby>会<rt>かい</rt></ruby></b>に<ruby>出席<rt>しゅっせき</rt></ruby>していました。	会員はみんなその会に出席していました。	All the members were present at the meeting.	pos::noun rank::0001-0500
<ruby>僕<rt>ぼく</rt></ruby>	僕	I; me<div style="font-size:12px;color:#a7aebb;margin-top:4px">pronoun &middot; frequency rank 90</div>	<b><ruby>僕<rt>ぼく</rt></ruby></b>は<ruby>君<rt>きみ</rt></ruby>の<ruby>言<rt>い</rt></ruby>っていることがわかりません。	僕は君の言っていることがわかりません。	I can't make out what you're saying.	pos::pronoun rank::0001-0500
<ruby>力<rt>ちから</rt></ruby>	力	force; strength; might<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 91</div>	<ruby>私<rt>わたし</rt></ruby>の<b><ruby>力<rt>ちから</rt></ruby></b>が<ruby>及<rt>およ</rt></ruby>ぶ<ruby>限<rt>かぎ</rt></ruby>り<ruby>援助<rt>えんじょ</rt></ruby>します。	私の力が及ぶ限り援助します。	I'll help you to the best of my ability.	pos::noun rank::0001-0500
<ruby>国<rt>くに</rt></ruby>	国	country; state<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 92</div>	とてもあなたの<b><ruby>国<rt>くに</rt></ruby></b>について<ruby>知<rt>し</rt></ruby>りたいのです。	とてもあなたの国について知りたいのです。	I want to know about your country so much.	pos::noun rank::0001-0500
しかし	しかし	however; but<div style="font-size:12px;color:#a7aebb;margin-top:4px">conjunction &middot; frequency rank 93</div>	<b>しかし</b>、たいへん<ruby>息子<rt>むすこ</rt></ruby>を<ruby>欲<rt>ほ</rt></ruby>しがっていました。	しかし、たいへん息子を欲しがっていました。	But he wanted a son very much.	pos::conjunction rank::0001-0500
<ruby>今日<rt>きょう</rt></ruby>	今日	today; this day<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 94</div>	<ruby>明日<rt>あした</rt></ruby>よりも<b><ruby>今日<rt>きょう</rt></ruby></b><ruby>行<rt>い</rt></ruby>きたいんだ。	明日よりも今日行きたいんだ。	I'd rather go today than tomorrow.	pos::noun rank::0001-0500
<ruby>本当<rt>ほんとう</rt></ruby>に	本当に	really; truly<div style="font-size:12px;color:#a7aebb;margin-top:4px">adverb &middot; frequency rank 95</div>	<ruby>援助<rt>えんじょ</rt></ruby>していただいて<b><ruby>本当<rt>ほんとう</rt></ruby>に</b><ruby>感謝<rt>かんしゃ</rt></ruby>しています。	援助していただいて本当に感謝しています。	I am very grateful to you for your help.	pos::adverb rank::0001-0500
ちゃん	ちゃん	suffix for familiar person<div style="font-size:12px;color:#a7aebb;margin-top:4px">suffix &middot; frequency rank 96</div>	お<ruby>誕生<rt>たんじょう</rt></ruby><ruby>日<rt>び</rt></ruby>おめでとう<ruby>相<rt>あい</rt></ruby><ruby>葉<rt>は</rt></ruby><b>ちゃん</b>！	お誕生日おめでとう相葉ちゃん！	Happy birthday, Miss Aiba!	pos::suffix rank::0001-0500
<ruby>以上<rt>いじょう</rt></ruby>	以上	not less than ...; ... and over; ... and above<div style="font-size:12px;color:#a7aebb;margin-top:4px">adjective &middot; frequency rank 97</div>	<ruby>疲<rt>つか</rt></ruby>れていてこれ<b><ruby>以上<rt>いじょう</rt></ruby></b><ruby>歩<rt>ある</rt></ruby>けません。	疲れていてこれ以上歩けません。	I'm too tired to walk any further.	pos::adjective rank::0001-0500
<ruby>可能<rt>かのう</rt></ruby>	可能	possible; potential; practicable<div style="font-size:12px;color:#a7aebb;margin-top:4px">na-adjective &middot; frequency rank 98</div>	あらゆる<b><ruby>可能<rt>かのう</rt></ruby></b>な<ruby>手段<rt>しゅだん</rt></ruby>を<ruby>選<rt>えら</rt></ruby>びました。	あらゆる可能な手段を選びました。	We tried all means possible.	pos::na-adjective rank::0001-0500
<ruby>場合<rt>ばあい</rt></ruby>	場合	case; occasion; situation<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 99</div>	<ruby>来<rt>こ</rt></ruby>れない<b><ruby>場合<rt>ばあい</rt></ruby></b>は、できるだけ<ruby>早<rt>はや</rt></ruby>く<ruby>連絡<rt>れんらく</rt></ruby>してください。	来れない場合は、できるだけ早く連絡してください。	If you can't make it, call us as soon as possible.	pos::noun rank::0001-0500
<ruby>多<rt>おお</rt></ruby>い	多い	many; numerous; a lot<div style="font-size:12px;color:#a7aebb;margin-top:4px">i-adjective &middot; frequency rank 100</div>	<b><ruby>多<rt>おお</rt></ruby>く</b>て１００ドルしか<ruby>払<rt>はら</rt></ruby>えません。	多くて１００ドルしか払えません。	We can pay 100 dollars at most.	pos::i-adjective rank::0001-0500
<ruby>子<rt>こ</rt></ruby>	子	child; kid; teenager<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 101</div>	その<b><ruby>子<rt>こ</rt></ruby></b>はまだみつかっていない。	その子はまだみつかっていない。	The boy is yet to be found.	pos::noun rank::0001-0500
<ruby>車<rt>くるま</rt></ruby>	車	car; automobile; vehicle<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 102</div>	<ruby>彼<rt>かれ</rt></ruby>の<b><ruby>車<rt>くるま</rt></ruby></b>は<ruby>小<rt>ちい</rt></ruby>さくてほとんど<ruby>場所<rt>ばしょ</rt></ruby>を<ruby>取<rt>と</rt></ruby>らない。	彼の車は小さくてほとんど場所を取らない。	His car is small and takes up little room.	pos::noun rank::0001-0500
<ruby>金<rt>きん</rt></ruby>	金	gold (metal)<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 103</div>	<ruby>彼<rt>かれ</rt></ruby>にその<b><ruby>金<rt>きん</rt></ruby></b>をすぐ<ruby>払<rt>はら</rt></ruby>わせましょう。	彼にその金をすぐ払わせましょう。	He shall pay you the money at once.	pos::noun rank::0001-0500
あの	あの	that; those; the<div style="font-size:12px;color:#a7aebb;margin-top:4px">adjective &middot; frequency rank 104</div>	<ruby>昔<rt>むかし</rt></ruby>の<b>あの</b>うたを<ruby>歌<rt>うた</rt></ruby>ったことを<ruby>覚<rt>おぼ</rt></ruby>えています。	昔のあのうたを歌ったことを覚えています。	I remember singing that song long ago.	pos::adjective rank::0001-0500
どこ	どこ	where; what place<div style="font-size:12px;color:#a7aebb;margin-top:4px">pronoun &middot; frequency rank 105</div>	「あの６<ruby>人<rt>にん</rt></ruby>は<b>どこ</b><ruby>行<rt>おこな</rt></ruby>った？」「エスケープしまた」	「あの６人はどこ行った？」「エスケープしまた」	Where have those six got to? "They've escaped."	pos::pronoun rank::0001-0500
<ruby>男<rt>おとこ</rt></ruby>	男	man; male<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 106</div>	<ruby>要<rt>よう</rt></ruby>するに、その<b><ruby>男<rt>おとこ</rt></ruby></b>は<ruby>信用<rt>しんよう</rt></ruby>できない。	要するに、その男は信用できない。	The man, in short, is not to be trusted.	pos::noun rank::0001-0500
